displayName,appID,createdDateTime,identifierUris
"PROD Microsoft Defender For Cloud XDR-Ext","01b305c8-467a-4759-9260-77f1fe14da86","2026-08-30T20:04:36.917Z","api://PROD Microsoft Defender For Cloud XDR-Ext-01b305c8"
"Microsoft Rights Management Services-Ext","fcd0b337-d814-464c-81c5-7e1eaa6ec75b","2026-08-30T20:04:37.041Z","api://Microsoft Rights Management Services-Ext-fcd0b337"
"Microsoft.CodeSigning-Ext","f65d83a5-7e01-4dd6-901d-44d669802d00","2026-08-30T20:04:37.082Z","api://Microsoft.CodeSigning-Ext-f65d83a5"
"Appliance Resource Provider-Ext","5b7ee086-6372-4f71-b401-a83b89e2cd24","2026-08-30T20:04:37.115Z","api://Appliance Resource Provider-Ext-5b7ee086"
"Azure Credential Configuration Endpoint Service-Ext","065bec42-bf22-4cea-99e3-fac3628eda5e","2026-08-30T20:04:37.198Z","api://Azure Credential Configuration Endpoint Service-Ext-065bec42"
"RPSaaS MetaRP for Wandisco.Fusion-Ext","831c2b64-5e46-450a-9266-a1d3c486b60b","2026-08-30T20:04:37.242Z","api://RPSaaS MetaRP for Wandisco.Fusion-Ext-831c2b64"
"Liftr Datadog RPaaS-Ext","357ae20f-ac0b-48fa-bf56-5de8bc56f480","2026-08-30T20:04:37.279Z","api://Liftr Datadog RPaaS-Ext-357ae20f"
"CPIM Service-Ext","98681ef8-4e42-4f54-8ed9-86e23e915f6b","2026-08-30T20:04:37.380Z","api://CPIM Service-Ext-98681ef8"
"GitHub Actions API - Dev-Ext","90f138fe-063a-4648-9f35-ec41432dbc06","2026-08-30T20:04:37.406Z","api://GitHub Actions API - Dev-Ext-90f138fe"
"Office365DirectorySynchronizationService-Ext","3f3701d5-6fe6-43d3-ae5d-2ff821fc5e9b","2026-08-30T20:04:37.452Z","api://Office365DirectorySynchronizationService-Ext-3f3701d5"
"Azure Data Factory-Ext","338fa64c-af19-4d5f-932b-bf3671b9faa7","2026-08-30T20:04:37.534Z","api://Azure Data Factory-Ext-338fa64c"
"Microsoft.Azure.SyncFabric.CrossCloud.Government2Commercial-Ext","07cc06c9-0c56-425f-a2e3-20ff66eec9dd","2026-08-30T20:04:37.553Z","api://Microsoft.Azure.SyncFabric.CrossCloud.Government2Commercial-Ext-07cc06c9"
"AzureDatabricks-Ext","df064a49-9945-4b27-a56d-8dbeb3bdf07c","2026-08-30T20:04:37.683Z","api://AzureDatabricks-Ext-df064a49"
"KCS-UserRP-Ext","da61838d-e7b1-480c-b626-c8467576060b","2026-08-30T20:04:37.734Z","api://KCS-UserRP-Ext-da61838d"
"Microsoft.Relay-Ext","a8363853-0d99-4cf8-a205-efd105c9271d","2026-08-30T20:04:37.761Z","api://Microsoft.Relay-Ext-a8363853"
"Intuit-Ext","2abfea94-a76e-4c1c-962f-96c55ef510db","2026-08-30T20:04:37.815Z","api://Intuit-Ext-2abfea94"
"Microsoft Mixed Reality-Ext","b7f0117a-64aa-4288-b3a7-c661ed44269d","2026-08-30T20:04:37.896Z","api://Microsoft Mixed Reality-Ext-b7f0117a"
"Microsoft password reset service-Ext","9ebc6b34-02a5-40b5-aaaa-30f7888ce999","2026-08-30T20:04:37.994Z","api://Microsoft password reset service-Ext-9ebc6b34"
"Application Insights Configuration Service-Ext","2b277acc-c4f1-4e98-b21d-e24feaa538bb","2026-08-30T20:04:38.039Z","api://Application Insights Configuration Service-Ext-2b277acc"
"DiscoverOrg-Ext","4ffa02b0-11d6-4423-98d2-fea3d3f4a95a","2026-08-30T20:04:38.143Z","api://DiscoverOrg-Ext-4ffa02b0"
"Azure Multi-Factor Auth Connector-Ext","63c95f86-61b7-4ecf-870d-53c1104dbff6","2026-08-30T20:04:38.239Z","api://Azure Multi-Factor Auth Connector-Ext-63c95f86"
"Azure Machine Learning Services Asset Notification-Ext","b7609c54-e41c-406f-8bdd-36b297fbf7b0","2026-08-30T20:04:38.297Z","api://Azure Machine Learning Services Asset Notification-Ext-b7609c54"
"LexisNexis Law Schools-Ext","0583f36f-300e-4b4f-9807-0b4c88761007","2026-08-30T20:04:38.327Z","api://LexisNexis Law Schools-Ext-0583f36f"
"Office 365 Configure-Ext","df16c74d-114e-4723-bb76-ac9b4b5adb05","2026-08-30T20:04:38.361Z","api://Office 365 Configure-Ext-df16c74d"
"Azure Container Instance Service-Ext","f68a886d-bfb2-429e-82db-4397ad19de33","2026-08-30T20:04:38.423Z","api://Azure Container Instance Service-Ext-f68a886d"
"Microsoft Azure Container Apps - Control Plane-Ext","298cc7f9-f230-42eb-931e-0d1b18150069","2026-08-30T20:04:38.443Z","api://Microsoft Azure Container Apps - Control Plane-Ext-298cc7f9"
"Microsoft Graph-Ext","d84248bd-7eba-44f8-b20f-494056ff3bee","2026-08-30T20:04:38.464Z","api://Microsoft Graph-Ext-d84248bd"
"Azure Bastion-Ext","6ee2777b-07c5-416d-a137-5cbcf3cb57c3","2026-08-30T20:04:38.523Z","api://Azure Bastion-Ext-6ee2777b"
"DNC-Ext","b0533e3b-ba8c-4d60-9f58-e708a7c9f850","2026-08-30T20:04:38.552Z","api://DNC-Ext-b0533e3b"
"Microsoft Graph-Ext","2611f4ee-b6b4-4c7e-840a-2ddf6e480a5d","2026-08-30T20:04:38.656Z","api://Microsoft Graph-Ext-2611f4ee"
"Quickbooks Online Backup-Ext","4204848c-d5c4-4a66-a9bb-2b43b8a45793","2026-08-30T20:04:38.697Z","api://Quickbooks Online Backup-Ext-4204848c"
"App Protection-Ext","3b12d2b8-0908-4ead-8ac4-f65fe971db31","2026-08-30T20:04:38.717Z","api://App Protection-Ext-3b12d2b8"
"CosmosDB Dedicated Instance-Ext","91509f6d-a053-4162-9f8c-be8b3434ffd9","2026-08-30T20:04:38.839Z","api://CosmosDB Dedicated Instance-Ext-91509f6d"
"Microsoft Azure Container Apps - Data Plane-Ext","6f095a4b-e0e4-4f35-839d-6aaaf30a6881","2026-08-30T20:04:38.940Z","api://Microsoft Azure Container Apps - Data Plane-Ext-6f095a4b"
"asmcontainerimagescanner-Ext","81f487a0-3629-4bf4-b146-7ef0665a023e","2026-08-30T20:04:38.963Z","api://asmcontainerimagescanner-Ext-81f487a0"
"CosmosDBMongoClusterPrivateEndpoint-Ext","ad80a74f-a1fe-487d-9483-e819b4333901","2026-08-30T20:04:39.027Z","api://CosmosDBMongoClusterPrivateEndpoint-Ext-ad80a74f"
"Office Change Management-Ext","c1ec4f24-c8af-4224-9610-40fac006e66b","2026-08-30T20:04:39.092Z","api://Office Change Management-Ext-c1ec4f24"
"Microsoft Intune AAD BitLocker Recovery Key Integration-Ext","0b6ef6f4-6a43-49b9-8e36-0caabab98d91","2026-08-30T20:04:39.181Z","api://Microsoft Intune AAD BitLocker Recovery Key Integration-Ext-0b6ef6f4"
"Power BI Premium-Ext","7e2fc473-d51b-4f70-ae83-d38e555083ff","2026-08-30T20:04:39.284Z","api://Power BI Premium-Ext-7e2fc473"
"AzureContainerService-Ext","e0531d61-64cb-45b2-8a59-fcbcebeb5463","2026-08-30T20:04:39.316Z","api://AzureContainerService-Ext-e0531d61"
"Fidalgo Dev Portal Public-Ext","6d57342a-0239-4ea2-9e27-510766783648","2026-08-30T20:04:39.437Z","api://Fidalgo Dev Portal Public-Ext-6d57342a"
"Azure Virtual Desktop-Ext","75e4f8fd-1ab8-4fc4-b4ae-55f538692063","2026-08-30T20:04:39.484Z","api://Azure Virtual Desktop-Ext-75e4f8fd"
"Microsoft Cognitive Services-Ext","e73c77e7-d377-4fa5-a4d4-87d01f143820","2026-08-30T20:04:39.515Z","api://Microsoft Cognitive Services-Ext-e73c77e7"
"CosmosDB Dedicated Instance-Ext","f3edcb83-df4d-4282-b202-fade9dbb3629","2026-08-30T20:04:39.612Z","api://CosmosDB Dedicated Instance-Ext-f3edcb83"
"SonarDaaSAPI-Ext","e3c3f58b-a988-4571-a14e-6abe788e8843","2026-08-30T20:04:39.698Z","api://SonarDaaSAPI-Ext-e3c3f58b"
"Azure DNS-Ext","5e1887e2-3bbe-4370-891d-2d005cc629ab","2026-08-30T20:04:39.811Z","api://Azure DNS-Ext-5e1887e2"
"Marketplace Catalog-Ext","e5296d31-ca2d-4db7-b04d-77de3b6f2a43","2026-08-30T20:04:39.927Z","api://Marketplace Catalog-Ext-e5296d31"
"Logicalicak-Ext","1c0443e6-5a34-4823-89c7-a268e01a2ecf","2026-08-30T20:04:40.002Z","api://Logicalicak-Ext-1c0443e6"
"AzureSupportCenter-Ext","ea52f626-8fe2-49a2-bc38-f349c3315618","2026-08-30T20:04:40.058Z","api://AzureSupportCenter-Ext-ea52f626"
"Azure Monitor for SAP Solutions-Ext","044d7118-1f3b-487f-b12e-c237c0d58f1f","2026-08-30T20:04:40.071Z","api://Azure Monitor for SAP Solutions-Ext-044d7118"
"Azure DNS Managed Resolver-Ext","6a5eabad-95f8-4beb-938d-33a0c575abeb","2026-08-30T20:04:40.129Z","api://Azure DNS Managed Resolver-Ext-6a5eabad"
"ExP Studio-Ext","385c239b-5c64-476e-999c-1f338cd140ad","2026-08-30T20:04:40.233Z","api://ExP Studio-Ext-385c239b"
"Microsoft People Cards Service-Ext","586b4a3a-b2b0-4075-b9fa-5f25dacfa6a1","2026-08-30T20:04:40.257Z","api://Microsoft People Cards Service-Ext-586b4a3a"
"Automanage API Access-Ext","29d76ec5-2749-4686-a389-d74451e32d00","2026-08-30T20:04:40.294Z","api://Automanage API Access-Ext-29d76ec5"
"Azure Signup Api-Ext","5f909e07-8a7e-45f1-83e8-dcbe753c699d","2026-08-30T20:04:40.315Z","api://Azure Signup Api-Ext-5f909e07"
"Azure Container Registry - Dataplane-Ext","d7447499-e76e-4106-8540-d6afc4c7533b","2026-08-30T20:04:40.386Z","api://Azure Container Registry - Dataplane-Ext-d7447499"
"Azure VMware Solution RP-Ext","97b49873-59ad-49ce-9cdf-b8ed4dc90a60","2026-08-30T20:04:40.488Z","api://Azure VMware Solution RP-Ext-97b49873"
"Microsoft Azure App Service-Ext","41bd1d61-2881-4736-b3ff-1c599c2295c0","2026-08-30T20:04:40.546Z","api://Microsoft Azure App Service-Ext-41bd1d61"
"Azure Machine Learning Singularity-Ext","e519c34f-d7e4-4310-ac63-c166d643a357","2026-08-30T20:04:40.585Z","api://Azure Machine Learning Singularity-Ext-e519c34f"
"Microsoft Mobile Application Management Backend-Ext","7696dd50-e71e-4087-b9ab-bd12a0d90adb","2026-08-30T20:04:40.623Z","api://Microsoft Mobile Application Management Backend-Ext-7696dd50"
"Microsoft Azure Policy Insights-Ext","14c632b0-8165-4b29-908d-727f3a41e0c7","2026-08-30T20:04:40.718Z","api://Microsoft Azure Policy Insights-Ext-14c632b0"
"CompliancePolicy-Ext","5a6be3b3-e1f9-41c4-9cbf-3912bc4b7be8","2026-08-30T20:04:40.749Z","api://CompliancePolicy-Ext-5a6be3b3"
"aciapi-Ext","92c06580-b038-4e6e-a3d0-cf423cbc3aa1","2026-08-30T20:04:40.774Z","api://aciapi-Ext-92c06580"
"Azure AD Identity Governance - Dynamics 365 Management-Ext","723562df-a3a4-4242-9d6f-ea095249d486","2026-08-30T20:04:40.826Z","api://Azure AD Identity Governance - Dynamics 365 Management-Ext-723562df"
"Office365 Shell SS-Server Default-Ext","5e769ff8-a3c3-4955-a53f-971c5afcbbbc","2026-08-30T20:04:40.897Z","api://Office365 Shell SS-Server Default-Ext-5e769ff8"
